Pergunta,Categorias
Qual o telefone para agendar?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 1, 'Agendamento': 0, 'Contato': 0}"
Quais documentos são necessários para consultar?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 1, 'Contato': 0}"
Qual o horário de consultar?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 1, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Qual o horário de obter informações sobre?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 1, 'Contato': 0}"
Quais documentos são necessários para agendar?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 1}"
Há cadastrar presencial?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 1}"
Há obter informações sobre presencial?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 1, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Preciso de ajuda com agendar.,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 1, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Posso obter informações sobre agendar?,"{'Cancelamento': 1, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Posso obter informações sobre cadastrar?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 1}"
Posso obter informações sobre consultar?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 1, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Qual o horário de obter informações sobre?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 1, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Onde posso encontrar informações sobre verificar?,"{'Cancelamento': 1, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Preciso de ajuda com verificar.,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 1, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Preciso de ajuda com agendar.,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 1, 'Agendamento': 0, 'Contato': 0}"
Qual o horário de agendar?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 1, 'Contato': 0}"
Qual o horário de cadastrar?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 1, 'Agendamento': 0, 'Contato': 0}"
Posso obter informações sobre verificar?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 1, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Quais documentos são necessários para consultar?,"{'Cancelamento': 0, 'Serviço Y': 1, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Posso obter informações sobre obter informações sobre?,"{'Cancelamento': 1, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Preciso de ajuda com consultar.,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 1, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Posso obter informações sobre verificar?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 1, 'Agendamento': 0, 'Contato': 0}"
Preciso de ajuda com obter informações sobre.,"{'Cancelamento': 0, 'Serviço Y': 1, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Há solicitar presencial?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 1, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Qual o telefone para solicitar?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 1, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Qual o telefone para solicitar?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 1, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Qual o horário de agendar?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 1, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Como cancelar um atendimento?,"{'Cancelamento': 1, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Qual o telefone para consultar?,"{'Cancelamento': 0, 'Serviço Y': 1, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Preciso de ajuda com cadastrar.,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 1, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Posso obter informações sobre solicitar?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 1, 'Contato': 0}"
Há consultar presencial?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 1, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Posso obter informações sobre agendar?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 1}"
Como faço para verificar um atendimento?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 1}"
Qual o telefone para solicitar?,"{'Cancelamento': 0, 'Serviço Y': 1, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Preciso de ajuda com obter informações sobre.,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 1, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Posso obter informações sobre cadastrar?,"{'Cancelamento': 0, 'Serviço Y': 1, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Qual o telefone para verificar?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 1, 'Agendamento': 0, 'Contato': 0}"
Qual o telefone para verificar?,"{'Cancelamento': 1, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Como faço para verificar um atendimento?,"{'Cancelamento': 0, 'Serviço Y': 1, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Onde posso encontrar informações sobre cadastrar?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 1, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Como faço para cadastrar um atendimento?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 1, 'Agendamento': 0, 'Contato': 0}"
Posso obter informações sobre solicitar?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 1, 'Agendamento': 0, 'Contato': 0}"
Preciso de ajuda com verificar.,"{'Cancelamento': 1, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Qual o telefone para verificar?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 1}"
Posso obter informações sobre verificar?,"{'Cancelamento': 0, 'Serviço Y': 1, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Há obter informações sobre presencial?,"{'Cancelamento': 0, 'Serviço Y': 1, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Qual o horário de consultar?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 1, 'Agendamento': 0, 'Contato': 0}"
Preciso de ajuda com solicitar.,"{'Cancelamento': 0, 'Serviço Y': 1, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Quais documentos são necessários para cadastrar?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 1, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Qual o telefone para agendar?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 1}"
Quais documentos são necessários para cadastrar?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 1, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Posso obter informações sobre verificar?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 1, 'Contato': 0}"
Qual o horário de verificar?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 1, 'Contato': 0}"
Como faço para verificar um atendimento?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 1, 'Agendamento': 0, 'Contato': 0}"
Preciso de ajuda com verificar.,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 1, 'Agendamento': 0, 'Contato': 0}"
Como faço para consultar um atendimento?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 1, 'Contato': 0}"
Preciso de ajuda com verificar.,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 1}"
Há agendar presencial?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 1, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Preciso de ajuda com obter informações sobre.,"{'Cancelamento': 1, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Posso obter informações sobre solicitar?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 1, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Há solicitar presencial?,"{'Cancelamento': 1, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Há obter informações sobre presencial?,"{'Cancelamento': 1, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Posso obter informações sobre obter informações sobre?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 1}"
